iter	Passed	Remaining
412	3612	13883
413	3622	13875
414	3630	13866
415	3639	13857
416	3647	13848
417	3656	13840
418	3665	13831
419	3674	13822
420	3683	13814
421	3691	13803
422	3699	13793
423	3707	13781
424	3717	13776
425	3726	13767
426	3734	13757
427	3742	13746
428	3751	13736
429	3759	13728
430	3768	13719
431	3776	13708
432	3785	13700
433	3794	13690
434	3800	13673
435	3809	13664
436	3815	13646
437	3824	13637
438	3832	13626
439	3841	13618
440	3849	13609
441	3858	13600
442	3867	13591
443	3875	13583
444	3884	13572
445	3890	13556
446	3896	13538
447	3905	13528
448	3913	13518
449	3918	13498
450	3927	13490
451	3935	13479
452	3945	13475
453	3954	13466
454	3959	13443
455	3967	13433
456	3976	13425
457	3984	13415
458	3992	13405
459	4001	13395
460	4009	13385
461	4017	13375
462	4027	13369
463	4035	13360
464	4044	13350
465	4053	13342
466	4061	13333
467	4070	13326
468	4079	13316
469	4088	13307
470	4096	13298
471	4105	13289
472	4113	13280
473	4122	13271
474	4131	13262
475	4139	13254
476	4149	13247
477	4157	13238
478	4166	13230
479	4175	13221
480	4184	13213
481	4192	13203
482	4201	13194
483	4209	13184
484	4213	13161
485	4221	13151
486	4230	13143
487	4239	13134
488	4248	13127
489	4253	13109
490	4262	13099
491	4271	13090
492	4279	13081
493	4288	13072
494	4296	13064
495	4305	13055
496	4314	13048
497	4323	13039
498	4332	13031
499	4340	13021
500	4350	13016
501	4358	13007
502	4367	12998
503	4375	12988
504	4384	12979
505	4392	12970
506	4401	12961
507	4410	12952
508	4419	12946
509	4428	12939
510	4437	12930
511	4446	12921
512	4454	12911
513	4463	12903
514	4471	12892
515	4480	12884
516	4488	12874
517	4497	12867
518	4505	12856
519	4513	12846
520	4521	12836
521	4530	12826
522	4538	12818
523	4546	12807
524	4555	12799
525	4564	12790
526	4574	12785
527	4582	12774
528	4590	12764
529	4598	12754
530	4607	12746
531	4616	12738
532	4624	12728
533	4633	12720
534	4642	12711
535	4651	12703
536	4659	12694
537	4668	12685
538	4676	12675
539	4685	12668
540	4694	12659
541	4703	12652
542	4711	12642
543	4720	12635
544	4728	12624
545	4737	12616
546	4745	12606
547	4754	12597
548	4763	12589
549	4771	12579
550	4779	12570
551	4788	12560
552	4796	12551
553	4805	12542
554	4815	12536
555	4823	12526
556	4832	12519
557	4840	12509
558	4849	12501
559	4858	12492
560	4867	12485
561	4876	12476
562	4884	12468
563	4893	12459
564	4902	12450
565	4907	12433
566	4916	12424
567	4924	12415
568	4933	12406
569	4942	12398
570	4951	12390
571	4959	12381
572	4967	12371
573	4975	12361
574	4984	12352
575	4993	12345
576	5002	12337
577	5011	12330
578	5020	12320
579	5029	12313
580	5037	12304
581	5046	12295
582	5054	12284
583	5063	12276
584	5071	12265
585	5080	12258
586	5088	12249
587	5096	12239
588	5105	12230
589	5113	12221
590	5122	12212
591	5131	12204
592	5140	12195
593	5148	12187
594	5157	12179
595	5166	12170
596	5175	12162
597	5184	12154
598	5192	12145
599	5201	12135
600	5210	12128
601	5218	12118
602	5227	12111
603	5236	12102
604	5244	12091
605	5252	12081
606	5260	12072
607	5269	12063
608	5275	12048
609	5283	12039
610	5291	12029
611	5300	12021
612	5309	12012
613	5317	12003
614	5326	11994
615	5334	11986
616	5343	11977
617	5352	11968
618	5361	11960
619	5370	11954
620	5379	11945
621	5388	11937
622	5397	11928
623	5405	11919
624	5413	11909
625	5422	11900
626	5430	11892
627	5439	11883
628	5448	11875
629	5457	11867
630	5465	11857
631	5474	11848
632	5482	11840
633	5491	11831
634	5500	11822
635	5508	11813
636	5517	11805
637	5526	11796
638	5534	11787
639	5542	11778
640	5551	11768
641	5559	11759
642	5568	11751
643	5577	11743
644	5586	11735
645	5595	11727
646	5604	11719
