iter	TotalF1	MultiClass
116	0.8185701592	0.6962293977
117	0.8183883886	0.6930539952
118	0.8183866656	0.6901431117
119	0.81790212	0.6879689964
120	0.8172449233	0.685579308
121	0.8185859532	0.6834148424
122	0.8186058833	0.6821296856
123	0.8191473405	0.6792029633
124	0.8190914502	0.6769678642
125	0.8191519344	0.6749745296
126	0.8190612065	0.673658714
127	0.8192115559	0.6710755125
128	0.8190905871	0.6690783953
129	0.8223103284	0.6676047482
130	0.8225179522	0.6652280231
131	0.8227886129	0.6628323511
132	0.8234814894	0.6606462757
133	0.8235429465	0.6593098768
134	0.8236339521	0.6569786096
135	0.8236642851	0.6550431209
136	0.8235732828	0.6531809927
137	0.823694617	0.6511194474
138	0.823694617	0.649511522
139	0.8237552777	0.6480118463
140	0.8233330483	0.6459928277
141	0.8246071553	0.6430954504
142	0.8247325814	0.640715988
143	0.8248194002	0.6379229616
144	0.8246981238	0.6361958688
145	0.8244858491	0.6338923323
146	0.8247587641	0.6317404215
147	0.8248497167	0.6296700858
148	0.8248194002	0.6280393322
149	0.8247284445	0.6257449323
150	0.8282225822	0.6239223891
151	0.8288002567	0.6225951716
152	0.8287091355	0.6206335514
153	0.8286475875	0.6189030677
154	0.8287083428	0.6174755474
155	0.829135164	0.6163932621
156	0.8293173128	0.6148566011
157	0.833153998	0.613156678
158	0.8290440749	0.6107777173
159	0.8330610064	0.6089435319
160	0.8331827208	0.6068027163
161	0.833181906	0.6054079245
162	0.8333612516	0.6036984686
163	0.8334525246	0.6016268954
164	0.8342269452	0.6001247595
165	0.8360899141	0.5988167185
166	0.8361394454	0.5967505266
167	0.8361203578	0.5952674042
168	0.8361499703	0.593546032
169	0.8369333092	0.5912791569
170	0.8363326102	0.5887096571
171	0.8365464536	0.5881999173
172	0.8363228334	0.5868113075
173	0.8367914564	0.5852270088
174	0.8364485718	0.5836947344
175	0.8370733054	0.582260789
176	0.8373723435	0.5808605877
177	0.8374643074	0.5796934555
178	0.837548886	0.5780493648
179	0.837548886	0.5767339235
180	0.8375649127	0.5749401128
181	0.8378999413	0.5736994426
182	0.8384292157	0.5724905607
183	0.8382789918	0.5709566605
184	0.8382478234	0.5694005002
185	0.838308556	0.5678170375
186	0.8381911429	0.5669150387
187	0.8379785739	0.5654411854
188	0.8383540756	0.5639289488
189	0.8382933265	0.5626028787
190	0.8385098518	0.5611245814
191	0.838388396	0.5599774849
192	0.8380543039	0.5584057081
193	0.8376768539	0.5572341518
194	0.8381116468	0.5558449993
195	0.8383501382	0.5541548956
196	0.8384747012	0.5528542889
197	0.8389443148	0.551778014
198	0.8387614896	0.5501151117
199	0.8386999934	0.5484559659
200	0.8387311496	0.5474837765
201	0.8391238935	0.5460827977
202	0.8389075904	0.5445353009
203	0.8389993993	0.5434931881
204	0.8389682741	0.5427216597
205	0.8392771056	0.5411804412
206	0.8396450679	0.5402046199
207	0.8393109549	0.5383526447
208	0.8393412608	0.5380330347
209	0.8393085116	0.5365409282
210	0.8391840257	0.5357383929
211	0.8391233847	0.5336166867
212	0.8394233987	0.5331732091
213	0.8394233987	0.5325422865
214	0.8394273423	0.5314077938
215	0.8394273423	0.530146369
216	0.8398236325	0.528997217
217	0.8396107648	0.5282931378
218	0.8398300354	0.527061657
219	0.8396794313	0.5264335401
220	0.8396475051	0.5254473834
221	0.8395198573	0.524061841
222	0.8395844787	0.5226315646
223	0.8397064598	0.5216823103
224	0.8397367495	0.5208492997
225	0.8396450679	0.5200982446
226	0.8395509593	0.5188712652
227	0.8397056529	0.5185487339
228	0.840008515	0.5173963136
229	0.8402789077	0.5160943356
230	0.8399154974	0.5151459258
231	0.8398852064	0.5141575337
232	0.840006364	0.5134937855
233	0.8400366508	0.5126232578
234	0.8401267318	0.5118427055
235	0.840313057	0.5104233071
236	0.8403122767	0.5099857413
237	0.8403425481	0.5091814326
238	0.8406211673	0.508134983
239	0.8406149435	0.5073344245
240	0.8406149435	0.5068245316
241	0.8406141789	0.5055589442
242	0.8406141789	0.504718027
243	0.8416813003	0.5040788623
244	0.8415601858	0.5030616333
245	0.8421050723	0.5020603634
246	0.8421050723	0.5010816833
247	0.8421360739	0.500736594
248	0.8421958548	0.4992235379
249	0.8422563713	0.4983178376
250	0.8435588236	0.4969893502
251	0.843289168	0.4959186085
252	0.8440464976	0.4951108047
253	0.8453625319	0.4946617701
254	0.8453625319	0.4944363994
255	0.8453625319	0.4938370197
256	0.8453625319	0.4930159094
257	0.8454231099	0.4924644836
258	0.8445255029	0.4915203931
259	0.8445255029	0.4907660383
260	0.8445255029	0.4900930213
261	0.8448022354	0.4894003986
262	0.8448346884	0.4889495393
263	0.844713473	0.4877182045
264	0.8453936787	0.4869168628
265	0.845361246	0.4861141848
266	0.8457235462	0.4853234239
267	0.8456632748	0.4845409298
268	0.846378326	0.4840712667
269	0.8464416563	0.4831552667
270	0.8468409075	0.48199433
271	0.8471734887	0.4810480953
272	0.8472043526	0.4802503263
273	0.8470492581	0.4794538705
274	0.8469929565	0.4784455055
275	0.8471434024	0.477463425
276	0.8472043526	0.4766700089
277	0.8473578766	0.4758278832
278	0.8476602428	0.4751553365
279	0.8475400151	0.4743725604
280	0.8492149371	0.473572634
281	0.8489765621	0.4724948795
282	0.8491833365	0.4710298308
283	0.8495225767	0.4703552976
284	0.8495526398	0.4698994251
285	0.8494925127	0.4688918875
286	0.8494917393	0.4684547546
287	0.8494316059	0.4677703864
288	0.8495241299	0.466913896
289	0.8495541904	0.4668667842
290	0.8495850285	0.4663943768
291	0.8497318308	0.4657004999
292	0.850096221	0.4649136231
293	0.8505262434	0.4642644064
294	0.8504962373	0.4637452804
295	0.8506139096	0.4631187061
296	0.8508539346	0.4621875721
297	0.8509439289	0.4617075824
298	0.8511663377	0.4611311865
299	0.8507466753	0.460331925
300	0.8512910472	0.4600311249
301	0.8514765076	0.4595849727
302	0.8515064506	0.4592658527
303	0.8530810757	0.4582197522
304	0.8539012439	0.4572449564
305	0.8540805892	0.4563262183
306	0.8541104769	0.4552213893
307	0.8540507005	0.4538190202
308	0.8541964401	0.4530297537
309	0.8543887518	0.4520360325
310	0.8543013149	0.4512532011
311	0.8543013149	0.451112019
312	0.8543910568	0.4506407094
313	0.8545681959	0.45004404
314	0.8545382907	0.4495149789
315	0.8545662044	0.4485907575
316	0.8545362993	0.4481684133
317	0.8545362993	0.4474513427
318	0.8549350269	0.4471109913
319	0.8558210109	0.4465884538
320	0.8557587579	0.4457109904
321	0.8559720723	0.4452420339
322	0.8555614556	0.4445504375
323	0.8557406085	0.4437039939
324	0.8558027717	0.4428295144
325	0.8558326219	0.4423517381
326	0.8562754762	0.4417521281
327	0.8563649474	0.4409351049
328	0.8562158245	0.4405583352
329	0.8568121886	0.440086388
330	0.8567835966	0.4394426941
331	0.8572787286	0.4385915622
332	0.85733828	0.4380543574
333	0.85733828	0.4374068727
334	0.85733828	0.4370380616
335	0.8572489517	0.4367205355
336	0.8579336108	0.436122081
337	0.8587045891	0.4352918109
338	0.8586152764	0.434786893
339	0.8594473129	0.4342684849
340	0.8594473129	0.4336706389
341	0.8593580658	0.4332832089
342	0.8593580658	0.4328061698
343	0.8592688113	0.432572101
344	0.8591787975	0.4319313005
345	0.8577498066	0.4308326435
346	0.8587875388	0.4300334116
347	0.8585760833	0.429556289
348	0.8589066421	0.4289966766
349	0.8591692933	0.4284078797
350	0.8591692933	0.427835615
351	0.8588354548	0.4274997954
352	0.8591692933	0.4271801114
353	0.8588348902	0.4269193438
354	0.8589551515	0.4264970533
355	0.8588944617	0.425905766
356	0.8588944617	0.4253920822
357	0.8857826713	0.4243981704
358	0.885997156	0.4238134735
359	0.885997156	0.4236137969
360	0.8859682581	0.4223028524
361	0.8859682581	0.4216918635
362	0.8859980268	0.4215003127
363	0.8859367446	0.4210472284
364	0.8859069715	0.4207053174
365	0.8863004274	0.4199832138
366	0.8900542786	0.419555115
367	0.8900542786	0.4192115846
368	0.8900840737	0.4181639081
369	0.8901436614	0.4177467682
370	0.8899364732	0.4172582262
371	0.8899356233	0.4170404364
372	0.8899356233	0.4167992288
373	0.8902040959	0.4163875476
374	0.8902338856	0.4158529906
375	0.8902338856	0.4153443546
376	0.8903828215	0.4143305642
377	0.8905657332	0.4140492181
378	0.8908931933	0.4132858043
379	0.8912306114	0.4128322008
380	0.8912909887	0.4123587837
381	0.8873454479	0.4120911687
382	0.896435314	0.4115550426
383	0.8966434159	0.4110426853
384	0.9000985072	0.4105237408
385	0.8912257999	0.4098351714
386	0.8998381954	0.409473169
387	0.8998768476	0.4092637076
388	0.9000167301	0.4088563739
389	0.900414267	0.4082122165
390	0.9004152677	0.4078150337
391	0.9000010733	0.4074539632
392	0.900047467	0.4071390789
393	0.9001069679	0.4068471094
394	0.9002547319	0.4062875777
395	0.9002678159	0.4058661941
396	0.9002678159	0.4053473967
397	0.9006357208	0.4049185211
398	0.9014732885	0.4045849273
399	0.9019099803	0.4043881413
400	0.9018965704	0.403722258
401	0.9015223553	0.4031356674
402	0.9018975099	0.4027591102
403	0.9020473117	0.4020016165
404	0.9023738128	0.4015041335
405	0.9023738128	0.401102201
406	0.9023440497	0.4009721833
407	0.9024044948	0.4008926114
408	0.9021961515	0.4005793589
409	0.8935000955	0.4003225067
410	0.9021961515	0.400008747
411	0.9023747338	0.3994243526
412	0.9031779461	0.3989594871
413	0.9031779461	0.3987578539
414	0.894990077	0.3981231143
415	0.894990077	0.3977274508
416	0.8953795175	0.3973059491
417	0.8951410725	0.396672388
418	0.8952004873	0.396198293
419	0.9037808352	0.3955585463
420	0.9041068567	0.3950438885
421	0.9041662473	0.3947345783
422	0.8954367393	0.3944655909
423	0.8954957881	0.3940568941
424	0.8958231509	0.3932335339
425	0.9045234337	0.3926630537
426	0.9045234337	0.3924024508
427	0.904954174	0.3918026045
428	0.9050135111	0.3913571415
429	0.9051007858	0.3908530083
430	0.9049820977	0.3904800219
431	0.9053991618	0.3897983415
432	0.9052220495	0.3892118929
433	0.9051897854	0.3889402758
434	0.9051601257	0.3887933832
435	0.9053550965	0.3881360259
436	0.9053550965	0.3880720854
437	0.9055660146	0.3876897625
438	0.9055956676	0.387505296
439	0.9056261476	0.3872275304
440	0.9056549669	0.3866834673
441	0.9074222586	0.3865268616
442	0.9074519038	0.3861823612
443	0.9073601669	0.3857798081
444	0.9073898175	0.3854800106
445	0.9077070685	0.3852921946
446	0.9077070685	0.3852411833
447	0.9077988477	0.3844195067
448	0.9077988477	0.3838208381
449	0.9077376619	0.3836521412
450	0.9079163732	0.3833257081
451	0.9079163732	0.383161336
452	0.9080033289	0.3822231015
453	0.908380582	0.381911769
454	0.908380582	0.3818909111
455	0.9080625726	0.38134452
456	0.9080625726	0.3808620066
457	0.9080921934	0.3803413102
458	0.9081514329	0.3800881127
459	0.9081810516	0.3797287064
460	0.9082994126	0.3793974091
461	0.909180379	0.3789750926
462	0.9092692277	0.3781123938
463	0.9088323078	0.3777315507
464	0.9089839557	0.377382064
465	0.909824514	0.3768798812
466	0.9101103607	0.3766470821
467	0.9101103607	0.3759017461
468	0.9098730798	0.3756514155
469	0.9098730798	0.3751599014
470	0.9097844002	0.3745651041
471	0.9097844002	0.3739883442
472	0.9097844002	0.3737963268
473	0.9097844002	0.3734320635
474	0.9098734042	0.3731128505
475	0.9098734042	0.3726255846
476	0.9097844002	0.3720484248
477	0.9100208758	0.371786961
478	0.9100844951	0.371381492
479	0.9100548381	0.3708540311
480	0.9098437369	0.3704911399
481	0.9098732933	0.3703413294
482	0.9098732933	0.369956735
483	0.9101670068	0.36954115
484	0.9101670068	0.369522636
485	0.9104932141	0.3691826776
486	0.9106744243	0.3687229936
487	0.9105525159	0.3682804028
488	0.910704066	0.3672727169
489	0.910704066	0.3671052405
490	0.9106744243	0.3666360566
491	0.9106447819	0.3662872015
492	0.910733707	0.3659612701
493	0.910733707	0.3656113407
494	0.910733707	0.3653331202
495	0.910733707	0.3649148526
496	0.910733707	0.3642442439
497	0.910733707	0.3636398718
498	0.9107633474	0.3632525042
499	0.9107633474	0.3630349772
500	0.9110300813	0.3623598197
501	0.9111206138	0.3617156465
502	0.9110597151	0.3611260082
503	0.9110020909	0.3609839547
504	0.9109411758	0.3605850052
505	0.9109411758	0.3602793132
506	0.9111782439	0.3598956726
507	0.9114696427	0.3591770479
508	0.9132662853	0.3582500667
509	0.9137439555	0.3572100305
510	0.9134738462	0.3568710361
511	0.9135915729	0.3565092339
512	0.9132128151	0.356389889
513	0.9135659069	0.3559429467
514	0.9118492864	0.3558453611
515	0.9120865813	0.3554000066
516	0.9121755566	0.3552324812
517	0.9121755566	0.3550580508
518	0.9122044975	0.3548496024
519	0.9122044975	0.3546972093
520	0.9128740787	0.354485835
521	0.9129631634	0.3541690854
522	0.9129334691	0.3538819778
523	0.9129037742	0.3537173107
524	0.9129037742	0.3534368317
525	0.9129928571	0.3530848962
526	0.9146053239	0.3523238512
527	0.9149296752	0.3520299851
528	0.9149296752	0.3518966206
529	0.9150780992	0.3516336446
530	0.9133420415	0.3509310058
531	0.9132530233	0.350330841
532	0.9133427149	0.3501919116
533	0.913253701	0.3496115407
534	0.913253701	0.3494252677
535	0.9134607239	0.3489434059
536	0.9134310542	0.3486449897
537	0.9132530233	0.348515153
538	0.913490393	0.3483355642
539	0.913371713	0.3478356125
540	0.9134013839	0.3475450802
541	0.9134310542	0.347097413
542	0.9134310542	0.3470436473
543	0.9136090632	0.3465625964
544	0.9136090632	0.3465097962
545	0.9136090632	0.3461225801
546	0.9138167128	0.3456921239
547	0.9138306197	0.3455181238
548	0.9138315714	0.3451832579
549	0.9138167128	0.344953864
550	0.9138315714	0.344850328
551	0.9137425823	0.3444874883
552	0.9138315714	0.3440326748
553	0.9138315714	0.3437931716
554	0.9138315714	0.3435957316
555	0.9138315714	0.3434430237
556	0.9138315714	0.3431657775
557	0.9137425823	0.3429821337
558	0.9137425823	0.3426998474
559	0.9137425823	0.3425166048
560	0.9137425823	0.342237629
561	0.9137425823	0.3418191493
562	0.9137425823	0.34160118
563	0.9138025879	0.3413752608
564	0.9138025879	0.3411185334
565	0.9137722459	0.3410366957
566	0.9145498253	0.3407701728
567	0.9145801791	0.3404841628
568	0.914579225	0.3403082012
569	0.914579225	0.3396724711
570	0.914579225	0.3393352433
571	0.914579225	0.3390703465
572	0.914579225	0.3388152716
573	0.9145495517	0.3385414936
574	0.9147275828	0.3380999188
575	0.9146973594	0.3375454833
576	0.9146973594	0.3369963405
577	0.9146973594	0.3365985481
578	0.9146973594	0.3364561686
579	0.9146973594	0.3359808193
580	0.9146979125	0.3356663656
581	0.9147275828	0.3353693339
582	0.9147275828	0.3351243114
583	0.9147275828	0.3349315768
584	0.9147275828	0.3348903786
585	0.9149346825	0.3344093442
586	0.9147863601	0.3338129122
587	0.9147863601	0.3336252859
588	0.9148160258	0.3334356939
589	0.9151423086	0.3331714952
590	0.9151719671	0.3328996744
591	0.9151423086	0.3327359691
592	0.9151719671	0.3326106031
593	0.9148456908	0.3323262991
594	0.9148753553	0.3320547836
595	0.915260939	0.3316575182
596	0.9152905951	0.3313457278
597	0.9153499055	0.3309287032
598	0.9153499055	0.3306763095
599	0.9153499055	0.3300564168
600	0.9153499055	0.3297315209
601	0.9153499055	0.329562091
602	0.9153499055	0.329006089
603	0.9153499055	0.3287707114
604	0.9153499055	0.328675786
605	0.9153499055	0.3284992161
606	0.9170818259	0.3279797925
607	0.9170818259	0.32792458
608	0.9170818259	0.3277024712
609	0.9170818259	0.3274808857
610	0.9170818259	0.3273042242
611	0.9170818259	0.3268270993
612	0.9170818259	0.3266369602
613	0.9170818259	0.3264277002
614	0.9170827704	0.3257738626
615	0.9153508568	0.3254920573
616	0.9170818259	0.3251385547
617	0.9170818259	0.3247465739
618	0.9178425388	0.3239316937
619	0.9178508037	0.323670651
620	0.9178801693	0.3235233482
621	0.9178498321	0.3233896777
622	0.9178795149	0.3230887486
623	0.9178795149	0.3228332334
624	0.91790985	0.3227772245
625	0.91790985	0.3225365615
626	0.9181175986	0.3223676333
627	0.91817695	0.3221020631
628	0.9181414345	0.321648244
629	0.918386955	0.3208940504
630	0.918386955	0.3208100212
631	0.918386955	0.3205845202
632	0.918386955	0.3204640181
633	0.9184749918	0.3200126202
634	0.9184749918	0.3196995876
635	0.9184749918	0.3194350394
636	0.917833394	0.3191145667
637	0.9178330772	0.3184944949
638	0.9177738146	0.3184098773
639	0.9179268616	0.3179626758
640	0.9179262282	0.317783584
641	0.9179522454	0.3176587785
642	0.9179222878	0.3172117578
643	0.9179558749	0.3165823355
644	0.918074456	0.3158215591
645	0.9183412294	0.3153180867
646	0.9186387402	0.3150785712
647	0.9186387402	0.3149854417
648	0.9183400121	0.3149107953
649	0.9183400121	0.3144639829
650	0.9183400121	0.3142535569
651	0.9183400121	0.3141506375
652	0.9183400121	0.3139142768
653	0.9183324037	0.3134095739
654	0.9183324037	0.3133404234
655	0.9183400121	0.3128902718
656	0.9183400121	0.3126548212
657	0.9184213824	0.3118752322
658	0.9184213824	0.311786253
659	0.9184213824	0.3116989949
660	0.9184213824	0.3116139408
661	0.9184213824	0.3114799219
662	0.9184213824	0.3113521624
663	0.9184213824	0.310920981
664	0.9183696536	0.310843332
665	0.9184585745	0.3104893481
666	0.9184289348	0.3100930286
667	0.9184289348	0.3100338532
668	0.9184289348	0.3097596318
669	0.9184289348	0.3095598325
670	0.9184289348	0.3094191782
671	0.9184882137	0.3089662161
672	0.9185178523	0.3087762288
673	0.9185178523	0.3085276644
674	0.9185178523	0.3083822093
675	0.9185178523	0.3083227981
676	0.9185178523	0.3079149771
677	0.9185178523	0.3077540665
678	0.9185178523	0.3076322199
679	0.9193334928	0.3073490454
680	0.9193334928	0.3071352617
681	0.9193334928	0.3069481942
682	0.9193334928	0.3067316351
683	0.920813078	0.3063632982
684	0.9203763697	0.3060808012
685	0.9209316621	0.3059103035
686	0.9212249952	0.3054571867
687	0.9212546198	0.3053092969
688	0.9212546198	0.3052614719
689	0.9221361514	0.3048826223
690	0.9213731127	0.3045143584
691	0.9215515261	0.3043197008
692	0.9207884874	0.3040608279
693	0.9213731127	0.3039126404
694	0.9213731127	0.3036243906
695	0.9213731127	0.3035357424
696	0.9213731127	0.3033411692
697	0.9214032763	0.3032334241
698	0.9217030019	0.3025190197
699	0.9214032763	0.3023449226
700	0.9214032763	0.3020372754
701	0.9214032763	0.3019540487
702	0.9212847915	0.3017366202
703	0.9220476891	0.3012828416
704	0.9212779166	0.3006526553
705	0.9212779166	0.3002474851
706	0.9214261154	0.2999855074
707	0.9214853911	0.2997445091
708	0.9225480503	0.2993146275
709	0.9225480503	0.2991688385
710	0.9223676447	0.2989348833
711	0.922518368	0.2987839016
712	0.9225777321	0.2984882884
713	0.9226074133	0.298108647
714	0.9227854892	0.2978298296
715	0.9227854892	0.2976668658
716	0.9227854892	0.2975682156
717	0.9227854892	0.2973691545
718	0.9227854892	0.2970477735
719	0.9227854892	0.2969070352
720	0.922637094	0.2968404515
721	0.9218741054	0.2966475683
722	0.922637094	0.2965897799
723	0.922637094	0.2964214386
724	0.9218741054	0.2961901043
725	0.9227916412	0.2955879266
726	0.922058087	0.2954469491
727	0.9216101979	0.2953841114
728	0.9216398124	0.2949483016
729	0.9216398124	0.294801473
730	0.9220849054	0.2945469775
731	0.9223775212	0.2944204298
732	0.9223775212	0.2942774756
733	0.9220784989	0.2938405205
734	0.9224678239	0.2936544308
735	0.922474243	0.2935776116
736	0.9224974506	0.2934445919
737	0.9221678661	0.2931801728
738	0.9226751998	0.292852807
739	0.9231500251	0.292618856
740	0.9231560307	0.2925230403
741	0.9233927805	0.2920625839
742	0.9233927805	0.2919386046
743	0.9233927805	0.2916641122
744	0.9234510147	0.2911779883
745	0.9231508287	0.2909999496
746	0.9234510147	0.2908299974
747	0.923510189	0.2906412578
748	0.9235106645	0.2904981578
749	0.9235106645	0.290268943
750	0.9234801309	0.2898573797
751	0.9235097163	0.2893496896
752	0.9235097163	0.2891978705
753	0.9235097163	0.2886934409
754	0.9235097163	0.2881467051
755	0.9235097163	0.2878204945
756	0.9236576356	0.2876368939
757	0.92368768	0.2874185767
758	0.9235097163	0.2872484855
759	0.9235397705	0.2870921442
760	0.9235397705	0.2869346671
761	0.9235397705	0.2868126526
762	0.9243202775	0.2865085916
763	0.9243202775	0.2863228044
764	0.9243202775	0.2861386851
765	0.92368768	0.2858909306
766	0.9244682061	0.2857551507
767	0.9246161216	0.2853987252
768	0.9246161216	0.2852268406
769	0.9246161216	0.2851180288
770	0.9245273738	0.2848663113
771	0.9247344448	0.2840942584
772	0.9247344448	0.2840345168
773	0.9247344448	0.2839501506
774	0.9246161216	0.2838143514
775	0.9246161216	0.283730898
776	0.924600318	0.2834048558
777	0.924600318	0.2831526662
778	0.9249899569	0.2826609467
779	0.9250195736	0.2825292592
780	0.9258512352	0.2824002626
781	0.9258512352	0.2818302573
782	0.925821618	0.281677704
783	0.9258512352	0.2814717161
784	0.9259695126	0.2813108722
785	0.9261177669	0.2810375936
786	0.9261177669	0.280933417
787	0.926147379	0.2807859941
788	0.926147379	0.2806706048
789	0.926147379	0.2805493625
790	0.9263546497	0.2804745915
791	0.9263546497	0.2804045757
792	0.9263546497	0.2801746935
793	0.9263546497	0.2796443994
794	0.9266803114	0.2790916992
795	0.9266803114	0.278765131
796	0.9266803114	0.2783874448
797	0.9266803114	0.2781587903
798	0.9267099141	0.2779550293
799	0.9267099141	0.2778081924
800	0.9268288042	0.2773767069
801	0.9268288042	0.277348016
802	0.9267395162	0.2771340712
803	0.9271169609	0.2765499801
804	0.9272065285	0.2762913901
805	0.9272065285	0.27623744
806	0.9272953199	0.2759967321
807	0.927625433	0.2756284571
808	0.9277141551	0.2751858263
809	0.9276550075	0.2751315446
810	0.9276550075	0.2749798464
811	0.9276550075	0.274890733
812	0.927624381	0.274547079
813	0.927624381	0.2742743269
814	0.9276533779	0.2740739342
815	0.927624381	0.274020192
816	0.9277431734	0.2735098842
817	0.9278614549	0.2732207054
818	0.9278614549	0.272556185
819	0.9278614549	0.2723848498
820	0.927891024	0.2723206579
821	0.9278614549	0.2722304634
822	0.9278614549	0.2720193854
823	0.927890186	0.2719835406
824	0.9279201736	0.2719098532
825	0.9279201736	0.2716952441
826	0.927921015	0.2714327895
827	0.927921015	0.2713435154
828	0.9279505817	0.2710135931
829	0.9279505817	0.270729645
830	0.9278914478	0.2704752388
831	0.9278914478	0.2704243137
832	0.9278914478	0.2702526571
833	0.9278914478	0.2699090119
834	0.9278914478	0.2695825752
835	0.9278906034	0.2694721151
836	0.9278906034	0.2694129164
837	0.9278914478	0.2692227932
838	0.9279505817	0.2686687818
839	0.9280087307	0.268275522
840	0.928126989	0.2676876903
841	0.9281869393	0.2675659526
842	0.9281869393	0.2675136923
843	0.9280686967	0.2674394755
844	0.9281869393	0.2672463814
845	0.929035842	0.267186693
846	0.9292756328	0.2669794572
847	0.9292756328	0.2668246757
848	0.9292756328	0.2667631047
849	0.9292756328	0.2666749548
850	0.9292756328	0.2665338464
851	0.929157272	0.2662991731
852	0.9293021906	0.2659988072
853	0.9293613523	0.2657724169
854	0.9294506994	0.26564578
855	0.9293613523	0.2654444821
856	0.9294796703	0.2649097184
857	0.9296571334	0.2647293244
858	0.9296571334	0.2643530352
859	0.9296571334	0.2640878777
860	0.9296571334	0.2638355427
861	0.9296571334	0.2636622589
862	0.9296867089	0.2632517442
863	0.9298050066	0.2630914413
864	0.9298050066	0.2628970467
865	0.9298050066	0.2627355144
866	0.9298050066	0.2626456757
867	0.9298050066	0.2625039819
868	0.9296867089	0.2620600336
869	0.9296867089	0.2619406851
870	0.9299824395	0.2614954976
871	0.9299824395	0.2613510516
872	0.9299824395	0.261089324
873	0.9310749832	0.2608299617
874	0.9303076908	0.2605637486
875	0.9310749832	0.2604754918
876	0.9310749832	0.2602517963
877	0.9311341897	0.2601041495
878	0.9312525974	0.2597916523
879	0.9309269593	0.259533059
880	0.9309861702	0.2594275687
881	0.9309861702	0.2591911277
882	0.9309861702	0.2590879935
883	0.9309861702	0.2587965679
884	0.9308976697	0.2584049768
885	0.9310450052	0.2581620772
886	0.9310450052	0.2580276884
